,reportedDateTime,centerLong,centerLat,offense,cluster_no
275,2021/01/15 12:08:00+00,-93.23695301,44.96275542,BURGB   ,24
276,2021/01/15 16:34:00+00,-93.26591466,44.98346009,BURGD   ,264
277,2021/01/15 19:46:00+00,-93.28126751,44.96000811,TFMV    ,201
278,2021/01/15 20:22:00+00,-93.26911012,44.89180114,TMVP    ,98
279,2021/01/18 19:01:00+00,-93.25365478,44.93142259,TFMV    ,392
280,2021/01/19 07:51:00+00,-93.22027185,44.96950334,TMVP    ,29
281,2021/01/18 18:44:00+00,-93.2717965,44.97736687,THEFT   ,358
282,2021/01/18 22:02:00+00,-93.28134598,44.94955167,BURGD   ,370
283,2021/01/19 08:43:00+00,-93.2423,44.94293,THEFT   ,249
284,2021/01/19 09:48:00+00,-93.30191074,45.01232654,AUTOTH  ,475
285,2021/01/19 09:00:00+00,-93.28810946,45.03391455,BURGB   ,268
286,2021/01/19 09:30:00+00,-93.27941,44.96269,TFMV    ,90
287,2021/01/19 11:00:00+00,-93.27643103,44.9768075,BURGB   ,191
288,2021/01/19 10:40:00+00,-93.26461656,45.00035577,TMVP    ,388
289,2021/01/19 10:36:00+00,-93.22695959,44.95828072,BURGD   ,71
290,2021/01/19 10:53:00+00,-93.2819252,44.90058270000001,BURGD   ,250
291,2021/01/19 13:07:00+00,-93.30392289,44.979823,AUTOTH  ,210
292,2021/01/19 12:09:00+00,-93.30234984,44.98623124,AUTOTH  ,39
293,2021/01/19 13:00:00+00,-93.28023231,44.97354094,TFMV    ,371
294,2021/01/20 07:28:00+00,-93.27314066,44.98080828,THEFT   ,262
295,2021/01/19 13:50:00+00,-93.23460561,44.98196400000001,THEFT   ,212
296,2021/01/19 15:02:00+00,-93.24004375,44.98090212,BURGB   ,197
297,2021/01/19 13:56:00+00,-93.27933,44.96879000000001,AUTOTH  ,317
298,2021/01/20 09:24:00+00,-93.29838599,44.9386021,THEFT   ,263
299,2021/01/19 13:20:00+00,-93.25239079,44.92958524,ROBBIZ  ,392
300,2021/01/20 08:00:00+00,-93.29878484,44.95465162,BURGB   ,139
301,2021/01/19 15:28:00+00,-93.25501827,44.94383639,ROBPER  ,237
302,2021/01/19 20:33:00+00,-93.26136643,44.95195537,TMVP    ,174
303,2021/01/19 16:25:00+00,-93.25377331,44.94745786,BURGD   ,136
304,2021/01/19 19:44:00+00,-93.23172209999998,44.9775839,TFMV    ,435
305,2021/01/19 17:14:00+00,-93.28801715,44.96002038,TFPER   ,324
306,2021/01/19 18:20:00+00,-93.28699773,44.92590778,ROBPER  ,255
307,2021/01/19 17:41:00+00,-93.23921051,44.96775732,ASLT4   ,434
308,2021/01/19 21:26:00+00,-93.29691109,44.96182022,BURGD   ,152
309,2021/01/20 07:00:00+00,-93.26009408,44.94563808,TFMV    ,431
310,2021/01/19 19:15:00+00,-93.28731427,45.03942872,THEFT   ,272
311,2021/01/19 19:29:00+00,-93.30132342,44.99149664,BURGD   ,254
312,2021/01/19 19:54:00+00,-93.26760958,44.93867433,AUTOTH  ,412
313,2021/01/19 22:26:00+00,-93.28801715,44.96002038,AUTOTH  ,324
314,2021/01/19 22:54:00+00,-93.26136643,44.95195537,ASLT4   ,174
315,2021/01/19 23:06:00+00,-93.28683345,44.94748777,ROBPER  ,101
316,2021/01/20 02:50:00+00,-93.25060737,44.96965820000001,AUTOTH  ,37
317,2021/01/20 02:34:00+00,-93.28422219,44.95643118,CARJCK  ,42
318,2021/01/20 04:49:00+00,-93.22883412,45.00363907,SHOPLF  ,84
319,2021/01/20 04:35:00+00,-93.2908455,44.92409775,CARJCK  ,54
320,2021/01/20 06:37:00+00,-93.26883749,44.93325363,AUTOTH  ,10
321,2021/01/20 08:51:00+00,-93.28564935,44.93498641,ROBPAG  ,59
322,2021/01/20 09:41:00+00,-93.31841526,45.0109315,TFMV    ,310
323,2021/01/20 10:18:00+00,-93.31345282,44.97265431,BURGD   ,171
324,2021/01/20 10:04:00+00,-93.21011267,44.91765509,THEFT   ,48
325,2021/01/20 10:30:00+00,-93.2778187,44.96180077,BURGD   ,90
326,2021/01/20 11:00:00+00,-93.29443595,44.95098959,BURGB   ,419
327,2021/01/20 11:53:00+00,-93.29255390000002,44.94836154,SHOPLF  ,331
328,2021/01/03 14:55:00+00,-93.2113691,44.91445114,MURDR   ,269
329,2021/01/19 16:25:00+00,-93.23721,44.93773,TFMV    ,447
330,2021/01/19 10:34:00+00,-93.23966581,44.96275084,TMVP    ,24
331,2021/01/19 13:14:00+00,-93.27524423,44.98816027,TFMV    ,211
332,2021/01/19 14:27:00+00,-93.22017,44.97037,TMVP    ,29
333,2021/01/19 15:32:00+00,-93.28083832,44.96825706,THEFT   ,317
334,2021/01/19 16:20:00+00,-93.28322844,44.96692818,THEFT   ,362
335,2021/01/19 16:22:00+00,-93.23854144,44.96275233,TMVP    ,24
336,2021/01/19 16:38:00+00,-93.26773099,44.94582605,TMVP    ,340
337,2021/01/19 16:48:00+00,-93.27019759,44.97603263,TFMV    ,88
338,2021/01/19 17:11:00+00,-93.21517983,44.98886834,THEFT   ,12
339,2021/01/19 18:20:00+00,-93.30696213,45.01052688,TMVP    ,260
340,2021/01/19 21:37:00+00,-93.32335169,44.91792374,TMVP    ,160
341,2021/01/18 16:42:00+00,-93.27532,44.95553,TFMV    ,181
342,2021/01/20 08:34:00+00,-93.25688726,44.95553406,TFMV    ,259
343,2021/01/20 06:23:00+00,-93.21142423,44.99434597,TFMV    ,496
344,2021/01/20 09:41:00+00,-93.28873705,44.94836293,TFMV    ,257
345,2021/01/20 09:48:00+00,-93.224239,44.91523301,THFTSW  ,390
346,2021/01/20 16:13:00+00,-93.23269851,44.9896544,TMVP    ,221
347,2021/01/14 19:44:00+00,-93.24095005,45.02854897,BURGD   ,270
348,2021/01/21 09:19:00+00,-93.25759,44.94836,ROBPER  ,30
349,2021/01/22 13:47:00+00,-93.2780985,44.89877848,TMVP    ,45
